Freq [GHz]	Vout [V]
3.84	-3.92E-01
3.85	-3.92E-01
3.86	-3.92E-01
3.87	-3.92E-01
3.88	-4.00E-01
3.89	-4.08E-01
3.90	-4.32E-01
3.91	-4.96E-01
3.92	-7.04E-01
3.93	-1.45E+00
3.94	-3.20E+00
3.95	-4.43E+00
3.96	-4.62E+00
3.97	-4.67E+00
3.98	-4.72E+00
3.99	-4.70E+00
3.99	-4.72E+00
4.00	-4.69E+00
4.00	-4.73E+00
4.01	-4.70E+00
4.02	-4.68E+00
4.03	-4.63E+00
4.04	-4.17E+00
4.05	-4.02E+00
4.06	-2.82E+00
4.07	-1.32E+00
4.08	-6.80E-01
4.09	-4.96E-01
4.10	-4.32E-01
4.11	-4.08E-01
4.12	-4.00E-01
4.13	-3.92E-01
4.14	-3.92E-01
4.15	-3.92E-01
