Freq [GHz]	Vout [V]
15.50   -1.80E-02
15.51	-1.80E-02
15.52	-1.80E-02
15.53	-2.00E-02
15.54	-2.00E-02
15.55	-2.00E-02
15.56	-2.00E-02
15.57	-2.00E-02
15.58	-2.00E-02
15.59	-2.00E-02
15.60    -2.00E-02
15.61	-2.20E-02
15.62	-2.20E-02
15.63	-2.40E-02
15.64	-2.40E-02
15.65	-2.60E-02
15.66	-2.60E-02
15.67	-2.80E-02
15.68	-3.20E-02
15.69	-3.40E-02
15.70    -4.00E-02
15.71	-4.40E-02
15.72	-5.20E-02
15.73	-5.80E-02
15.74	-6.80E-02
15.75	-9.00E-02
15.76	-1.06E-01
15.77	-1.26E-01
15.78	-1.56E-01
15.79	-1.84E-01
15.80	-2.24E-01
15.81	-2.76E-01
15.82	-3.44E-01
15.83	-4.32E-01
15.84	-5.48E-01
15.85	-7.00E-01
15.86	-8.80E-01
15.87	-1.12
15.88	-1.43
15.89	-1.74
15.90	-2.11
15.91	-2.47
15.92	-2.74
15.93	-2.94
15.94	-3.03
15.95	-3.07
15.96	-3.09
15.97	-3.11
15.98	-3.15
15.99	-3.23E+00
15.99	-3.22
16.00	-3.31E+00
16.00	-3.31
16.01	-3.41E+00
16.02	-3.46E+00
16.03	-3.52E+00
16.04	-3.53E+00
16.05	-3.46E+00
16.06	-3.34E+00
16.07	-3.12E+00
16.08	-2.82E+00
16.09	-2.46E+00
16.10	-2.09E+00
16.11	-1.76E+00
16.12	-1.43E+00
16.13	-1.14E+00
16.14	-9.44E-01
16.15	-7.54E-01
16.16	-6.02E-01
16.17	-4.82E-01
16.18	-3.90E-01
16.19	-3.20E-01
16.20	-2.64E-01
16.21	-2.18E-01
16.22	-1.82E-01
16.23	-1.52E-01
16.24	-1.28E-01
16.25	-1.20E-01
16.26	-1.02E-01
16.27	-8.80E-02
16.28	-7.60E-02
16.29	-6.60E-02
16.30	-5.80E-02
16.31	-5.00E-02
16.32	-4.40E-02
16.33	-4.00E-02
16.34	-3.60E-02
16.35	-3.20E-02
16.36	-3.00E-02
16.37	-2.80E-02
16.38	-2.60E-02
16.39	-2.40E-02
16.40	-2.40E-02
16.41	-2.20E-02
16.42	-2.20E-02
16.43	-2.20E-02
16.44	-2.00E-02
16.45	-2.00E-02
16.46	-2.00E-02
16.47	-2.00E-02
16.48	-2.00E-02
16.49	-2.00E-02
16.50	-2.00E-02
